Ad group type,(All),,
Ad group bid strategy type,(All),,
Brand Vertical Classification,(All),,
,,,
Row Labels,Sum of Cost,Sum of Views,CPV
19-Nov,98843.51,3418800,0.028911756
20-Nov,85746.96,3014563,0.028444242
21-Nov,145326.75,4941910,0.029407001
22-Nov,90932.43,3271221,0.027797703
23-Nov,101316.97,3376626,0.030005387
24-Nov,97657.96,3447651,0.028325941
25-Nov,95150.29,3380480,0.028146976
26-Nov,90150.09,2905770,0.03102451
27-Nov,89617.16,2839783,0.031557749
28-Nov,110924.25,3449968,0.032152255
29-Nov,116219.1,3722324,0.031222188
30-Nov,115408.34,3862752,0.029877233
1-Dec,115987.85,4346192,0.026687236
2-Dec,103059.22,3548996,0.029038979
3-Dec,107976.46,3521036,0.030666105
4-Dec,114728.43,3730514,0.030754054
5-Dec,111320.27,3738474,0.029776928
6-Dec,122439.16,3918432,0.031246978
7-Dec,114705.67,3595341,0.031903975
8-Dec,121380.29,4274223,0.028398212
9-Dec,111120.33,3900753,0.028486892
10-Dec,101799.07,3138988,0.032430538
11-Dec,89565.63,2771227,0.032319846
12-Dec,80492.46,2500888,0.032185552
13-Dec,87041.49,2667719,0.032627683
14-Dec,103273.56,2988702,0.034554653
15-Dec,94068.62,2844762,0.033067308
16-Dec,85079.62,2425641,0.035075108
17-Dec,94304.46,2678195,0.035211947
18-Dec,108271.29,2872743,0.037689167
19-Dec,106178.12,2683059,0.039573532
20-Dec,123105.84,2858366,0.043068606
21-Dec,148625.64,3488435,0.042605248
22-Dec,154793.09,3773439,0.041021755
23-Dec,152096.25,3430578,0.044335459
24-Dec,112913.22,2865123,0.039409554
25-Dec,82715.21,1957094,0.042264301
26-Dec,72878.4,1774001,0.041081375
27-Dec,68221.9,1630316,0.041845814
28-Dec,85544.91,2077502,0.041176812
29-Dec,100011.52,2537480,0.039413718
30-Dec,89710.79,2308536,0.038860468
31-Dec,83257.49,2676374,0.031108317
Grand Total,53661047.52,2228101787,
